age,age-ch,education-num,education-ch,capital-gain,capital-gain-ch,capital-loss,capital-loss-ch,hours-per-week,hpwch
18,0,7,0,0,0,0,0,22,0
31,0,4,0,0,0,0,1,40,1
18,0,9,1,0,0,0,0,30,1
52,1,13,1,0,1,0,0,40,0
46,1,9,0,0,0,0,1,40,1
59,1,9,1,0,1,0,1,48,0
44,1,9,0,14344,1,0,1,40,1
53,1,9,1,0,0,0,0,35,0
49,1,9,1,0,1,0,1,40,0
33,1,14,0,0,0,0,0,50,1
30,0,5,0,0,0,0,0,40,0
43,0,16,0,0,1,0,0,50,0
57,0,11,1,0,0,0,0,40,1
37,0,10,1,0,0,0,0,40,1
28,1,10,1,0,0,0,0,25,0
30,0,9,1,0,0,1573,1,35,1
34,0,13,0,0,0,0,1,40,1
29,0,10,1,0,1,0,1,50,1
48,1,16,1,0,0,1902,0,60,1
37,0,10,0,0,0,0,1,48,0
48,1,12,1,0,0,0,0,40,1
32,1,9,1,0,0,0,1,40,1
76,0,14,0,0,1,0,1,40,0
44,0,13,1,15024,1,0,1,60,0
47,1,14,1,0,0,0,0,50,0
20,1,10,0,0,1,0,0,40,0
29,1,9,0,0,0,0,0,40,0
32,1,9,1,7688,1,0,1,40,1
17,1,6,0,34095,1,0,0,32,1
30,0,7,1,0,1,0,0,40,0
31,0,9,0,0,1,0,1,40,0
42,0,9,0,0,0,0,0,40,0
24,0,13,0,0,1,0,0,40,0
38,0,15,0,0,1,0,0,40,0
56,1,9,0,0,0,1887,1,50,0
28,1,10,0,4064,1,0,1,25,1
36,0,9,1,0,1,0,1,40,0
53,1,5,0,0,0,0,0,50,1
56,0,10,1,0,0,0,1,50,0
49,0,11,0,0,1,0,1,40,0
55,1,10,0,0,0,0,0,56,0
22,1,9,1,0,0,0,1,41,1
21,0,10,1,0,1,0,1,40,1
40,0,13,0,0,1,0,0,60,0
30,0,13,1,0,1,0,0,40,0
29,0,13,1,0,1,0,0,50,1
19,0,10,0,0,1,0,0,35,0
47,1,13,1,0,1,0,1,40,1
20,1,10,0,0,0,1719,1,28,0
31,0,12,1,0,1,0,0,40,0
35,0,9,1,0,1,0,1,40,0
39,0,10,0,0,1,0,0,40,1
28,1,12,0,0,0,0,0,60,1
24,1,9,1,0,0,1762,1,40,0
38,1,9,0,4386,1,0,1,35,1
37,0,13,0,0,1,0,1,50,0
46,0,12,0,0,1,0,0,36,1
38,1,14,1,0,0,0,0,40,0
43,0,9,1,0,1,0,0,60,1
27,0,11,1,0,0,0,1,35,1
20,1,10,0,0,1,0,0,20,1
49,0,10,0,0,1,0,0,40,0
61,0,9,1,0,1,0,1,40,0
27,1,10,0,0,0,0,0,40,0
19,1,10,0,0,1,0,0,30,1
45,0,11,0,0,1,1564,0,40,1
70,0,10,0,0,0,0,0,40,0
31,0,9,1,0,0,0,1,30,1
22,1,10,0,0,0,0,1,24,0
36,1,9,0,0,0,0,0,24,0
64,0,7,0,0,1,2179,1,40,1
43,1,10,0,0,0,0,1,40,1
47,1,10,1,0,1,0,0,38,1
34,1,9,0,0,1,0,1,40,1
33,1,13,1,0,0,0,1,40,1
21,0,9,1,0,0,0,1,35,0
52,1,9,0,0,1,0,0,45,1
48,1,9,0,0,0,0,0,46,1
23,0,13,1,0,0,0,1,40,0
71,1,10,1,0,0,1816,0,2,0
29,0,9,1,0,0,0,0,60,1
42,1,13,0,0,1,0,0,50,1
68,1,2,1,0,0,0,1,20,0
25,1,9,1,0,1,0,0,40,0
44,1,14,1,0,0,0,1,40,0
28,0,9,0,0,1,0,0,40,0
45,1,14,1,0,1,0,1,40,1
36,1,10,1,0,0,0,0,40,0
39,0,12,1,0,1,0,1,42,1
46,0,14,0,0,0,0,0,40,1
18,0,7,1,0,0,0,0,16,0
66,1,11,0,0,1,0,0,20,1
27,0,9,0,0,0,1980,0,40,1
28,1,9,0,0,0,0,1,40,1
51,0,10,1,0,1,1977,0,40,0
27,0,13,0,0,0,0,1,50,0
28,0,13,1,0,0,0,0,40,1
27,0,9,0,0,0,0,1,25,1
21,1,9,1,0,0,0,0,40,1
34,1,9,0,0,0,0,0,40,0
18,1,9,0,0,0,0,1,12,1
33,1,13,0,0,0,0,1,65,1
44,1,10,1,0,0,0,1,38,1
43,1,10,0,0,0,0,0,40,0
30,0,10,0,0,1,0,1,45,0
40,0,4,1,0,1,0,0,40,0
37,1,10,0,0,1,0,0,42,0
34,0,9,1,0,1,0,1,40,1
41,1,13,1,0,1,0,0,40,1
53,0,13,1,0,1,0,0,50,1
31,0,14,0,0,1,0,1,50,0
58,1,16,1,0,1,0,0,1,1
38,0,10,1,0,0,0,0,28,1
24,0,10,1,0,0,0,0,40,1
41,1,13,1,0,1,0,1,40,0
47,1,10,0,0,0,0,1,45,0
41,0,13,0,0,0,0,0,24,1
23,0,3,1,0,1,0,0,40,0
36,1,10,1,0,0,0,1,40,1
40,1,14,0,14084,0,0,1,55,0
35,0,14,1,7298,0,0,1,40,1
24,1,9,1,0,0,0,0,40,0
26,0,14,0,0,0,1876,1,40,1
19,1,9,0,0,0,0,0,40,0
51,1,13,1,0,0,0,1,50,1
42,1,10,0,0,0,1340,0,40,1
37,0,9,1,0,0,0,1,35,1
18,1,7,0,0,0,0,0,40,0
36,1,13,0,7298,1,0,0,36,0
35,0,9,1,0,0,0,1,60,0
58,0,9,1,15024,0,0,0,35,1
17,0,7,0,0,1,0,1,12,0
44,0,9,0,0,0,0,1,40,1
37,0,9,1,0,1,0,0,40,0
35,1,10,0,0,0,0,1,40,0
60,0,9,0,0,1,0,1,40,1
54,1,4,1,0,1,0,1,40,0
37,0,13,0,0,0,0,0,60,0
50,1,12,1,0,0,0,1,40,0
38,0,13,0,0,0,0,0,50,1
45,0,13,1,0,1,0,0,55,1
25,1,6,1,0,1,0,1,40,0
31,1,10,0,0,0,0,1,40,0
64,0,2,0,0,1,0,0,40,0
90,0,9,0,0,0,2206,0,40,1
54,1,9,0,0,0,0,1,20,1
53,0,1,1,0,1,0,1,35,0
18,1,9,0,0,0,0,0,40,0
60,1,6,0,0,0,0,0,10,1
66,1,9,1,1409,0,0,1,50,0
75,0,11,1,0,1,0,1,20,0
65,1,9,1,0,1,0,0,40,1
35,1,7,0,3674,1,0,0,40,0
41,1,9,0,0,1,0,1,38,1
25,0,10,0,0,1,0,1,42,0
33,1,10,0,0,0,0,1,40,0
28,1,15,0,0,0,0,0,55,1
59,0,9,0,0,0,0,0,40,0
40,0,10,0,0,1,0,0,38,1
41,0,13,1,0,0,0,0,50,0
38,0,14,0,0,1,0,0,70,0
23,0,9,0,0,0,0,0,40,1
40,1,13,1,0,1,0,0,40,0
41,0,9,0,0,1,0,1,20,0
24,0,12,1,0,0,0,0,50,1
20,0,10,0,0,0,0,1,20,0
38,1,10,1,0,1,1741,0,40,1
56,0,9,0,0,0,0,0,35,0
58,0,9,0,0,1,0,1,45,1
32,1,9,1,0,1,0,0,34,0
40,0,12,1,0,1,1977,1,60,1
45,1,9,1,0,0,0,0,40,1
41,1,15,0,0,1,0,1,40,1
42,0,13,0,0,1,0,0,40,1
59,0,6,0,0,1,0,1,30,1
19,0,10,0,0,1,0,1,40,0
58,1,10,1,0,0,0,1,20,0
42,0,9,1,0,0,0,1,40,0
20,0,9,0,0,1,0,1,40,0
32,0,9,1,0,1,0,0,30,1
45,0,11,1,0,1,0,1,45,1
50,1,4,1,0,0,0,1,40,1
36,0,13,0,0,0,0,0,40,1
45,0,9,1,0,0,0,0,60,1
17,0,7,0,0,1,0,0,12,0
59,0,10,0,4064,1,0,1,40,1
26,1,7,0,0,1,0,1,40,1
37,1,10,1,0,1,0,1,75,1
19,0,10,0,0,0,0,1,24,0
64,0,9,1,0,1,0,1,40,0
33,1,13,0,0,1,0,0,45,0
33,1,9,1,0,1,0,0,40,0
61,1,9,1,0,1,0,1,40,0
17,1,5,0,1055,1,0,1,24,1
50,0,14,0,2407,0,0,1,98,1
27,1,14,1,0,0,0,1,35,0
30,0,9,1,0,0,0,0,40,1
43,0,9,1,0,0,0,1,40,1
44,0,10,0,7298,0,0,1,40,1
35,1,10,0,0,1,0,0,40,0
25,1,10,1,0,1,0,1,40,0
24,0,10,1,7298,0,0,0,48,1
22,0,13,0,0,1,0,1,15,0
42,0,10,0,5178,1,0,1,40,1
34,0,12,0,0,1,0,0,45,1
60,1,13,1,0,1,0,0,42,0
21,0,9,1,0,0,0,1,40,1
57,0,14,0,15024,1,0,1,40,0
41,0,15,1,0,0,0,0,60,0
50,1,10,0,0,1,0,0,45,0
25,1,13,1,0,0,0,1,40,0
50,0,4,1,0,0,0,1,40,0
36,0,13,0,0,0,0,0,45,1
31,1,9,0,0,0,0,0,40,0
29,1,13,0,0,0,0,0,56,1
21,0,10,0,0,0,0,0,45,0
27,1,13,1,0,1,0,0,40,0
65,0,9,1,0,0,0,1,16,1
37,1,13,1,0,1,0,0,60,1
39,1,14,0,3464,0,0,1,40,0
24,1,9,0,0,1,0,0,40,0
38,1,9,0,0,1,0,1,80,1
48,0,13,0,7688,1,0,0,40,1
21,1,10,1,0,0,0,1,25,1
31,0,9,1,0,1,0,0,45,0
55,1,9,0,4386,1,0,0,40,1
24,1,10,0,0,0,0,0,40,0
43,1,9,1,0,1,0,0,40,1
26,0,12,0,0,1,0,0,45,1
46,1,12,1,0,0,0,1,33,1
35,1,12,0,0,0,0,1,40,1
41,0,10,0,0,1,0,1,54,0
26,1,13,0,0,0,0,1,40,0
34,0,14,1,7298,0,0,0,35,0
19,1,10,0,0,1,0,0,25,1
36,0,13,1,0,0,0,0,40,0
22,0,10,0,0,0,0,0,15,1
24,1,10,1,0,1,0,0,40,1
77,1,10,0,0,1,0,1,40,0
22,1,3,1,0,0,0,0,40,1
29,1,10,0,0,1,0,1,40,0
62,0,9,1,0,1,0,0,24,1
39,0,9,1,0,0,0,1,40,0
43,0,10,0,0,1,1485,0,50,0
35,1,9,0,0,1,0,0,45,1
29,1,7,0,0,0,0,0,40,1
76,0,14,0,0,1,0,1,10,1
63,0,9,0,0,1,0,1,45,1
23,1,11,0,0,0,0,1,15,0
43,0,10,0,0,1,1887,1,50,1
58,0,9,0,0,0,0,0,40,1
66,1,9,1,2050,1,0,1,55,1
41,1,10,0,0,0,0,0,45,0
26,1,13,0,0,0,0,1,40,0
47,0,11,1,0,0,0,1,40,1
55,1,6,1,0,1,0,0,40,1
53,1,9,1,0,0,0,1,40,0
17,1,3,1,0,0,0,1,48,1
30,1,9,0,0,1,0,0,40,1
49,0,14,0,0,0,0,1,60,1
19,0,9,0,0,0,0,1,30,1
45,1,9,1,0,1,0,0,40,0
26,0,12,1,0,0,0,0,40,0
38,0,11,1,7298,1,0,0,40,0
36,0,9,1,7298,1,0,1,40,1
33,1,9,0,0,0,0,0,20,1
22,1,10,1,0,1,0,1,40,0
43,1,13,0,0,0,0,1,42,1
67,0,7,0,0,1,0,0,8,0
30,0,11,1,0,1,0,1,40,0
56,1,12,0,0,0,0,1,25,0
31,1,13,0,0,0,0,1,25,1
33,1,13,1,0,0,0,0,40,0
26,1,9,0,0,0,0,1,40,1
33,1,13,1,0,1,0,0,40,0
46,1,7,1,0,0,0,0,30,0
59,0,13,0,0,1,0,1,40,1
38,0,9,1,0,1,0,0,40,1
65,0,7,0,0,1,0,1,40,1
40,1,11,1,0,0,0,0,40,0
42,0,9,0,0,0,0,0,35,0
26,0,5,0,0,1,0,1,40,1
36,1,6,1,0,0,0,1,24,1
62,0,14,1,0,0,0,1,40,0
43,1,13,0,0,1,0,1,45,0
43,0,13,0,0,0,1564,1,45,1
22,1,9,1,0,0,0,0,55,1
28,0,9,0,0,1,0,1,40,1
56,0,10,1,0,1,0,1,45,1
22,0,12,0,0,0,0,1,15,1
57,0,13,0,0,0,0,1,45,1
39,1,9,0,0,0,0,0,40,1
26,0,10,0,0,1,0,1,15,0
17,0,7,1,0,1,0,0,10,0
40,1,11,0,0,0,0,1,38,0
45,0,9,1,0,0,0,1,40,0
44,0,9,0,0,0,0,0,40,1
20,1,10,0,0,0,0,0,10,1
33,0,9,1,0,0,0,0,40,1
23,1,10,0,0,0,0,1,40,0
46,1,14,1,0,1,0,1,30,0
38,1,9,0,0,0,0,1,50,0
54,0,9,1,0,1,0,0,40,0
46,1,3,1,0,1,2339,1,45,1
25,0,10,1,0,1,0,0,40,1
46,1,10,1,0,0,0,0,40,1
36,0,10,1,0,1,0,1,40,0
23,1,9,0,0,0,0,1,25,1
29,1,9,1,0,1,0,1,40,0
44,1,10,1,0,1,2415,0,6,1
19,0,10,0,0,0,0,1,16,0
19,1,9,0,0,1,0,1,40,0
35,0,9,0,0,0,0,0,40,1
27,1,13,0,0,1,0,1,50,1
46,1,12,0,0,1,0,0,40,1
34,1,13,1,7688,1,0,1,45,1
34,0,9,1,0,0,0,1,35,0
44,1,10,1,0,0,0,0,40,1
45,0,10,1,0,0,0,1,40,1
20,1,9,0,0,1,0,0,35,0
25,0,13,1,0,0,0,1,55,1
52,1,13,1,0,0,0,1,50,1
20,0,10,1,0,1,0,1,40,1
28,1,10,1,0,0,0,0,40,0
50,1,13,1,0,1,0,1,40,1
34,0,11,0,0,1,0,0,64,0
28,1,4,1,0,0,2179,0,40,1
41,1,14,1,0,1,1977,0,65,0
28,0,9,0,0,0,0,1,40,1
46,1,9,1,0,1,0,1,25,1
28,0,10,0,0,0,1887,1,40,0
32,1,10,1,0,1,0,1,50,1
41,1,10,0,0,1,0,0,24,1
24,0,9,0,0,1,0,0,40,0
33,0,10,1,0,0,0,0,40,0
46,0,16,1,15024,0,0,0,60,1
31,0,10,1,0,1,0,1,40,1
35,0,8,0,0,0,0,1,50,0
52,1,2,1,0,0,0,0,40,1
30,1,7,0,0,1,0,1,19,0
34,0,7,1,0,1,0,0,40,0
34,1,9,1,0,1,0,0,40,1
20,0,10,0,0,0,0,1,30,0
17,1,7,0,2176,1,0,1,18,1
32,1,13,0,0,1,0,1,40,1
29,1,9,1,0,1,0,0,40,1
33,0,6,1,0,0,0,1,35,1
25,1,9,0,0,1,0,1,60,0
36,1,14,0,0,1,1408,0,40,0
23,0,9,0,0,0,0,0,72,0
63,1,9,0,0,0,0,1,40,1
47,0,14,1,0,0,0,1,40,1
80,0,9,1,0,1,0,0,24,0
17,0,7,0,0,0,0,0,40,1
40,0,13,0,2174,0,0,0,40,1
30,0,12,1,0,0,0,1,25,1
27,1,10,0,0,1,1980,1,40,1
33,1,14,0,0,1,0,0,50,1
34,1,9,1,594,0,0,1,60,0
34,1,10,0,0,0,0,1,40,0
23,0,10,0,0,0,0,0,40,1
42,1,10,1,0,1,0,1,40,1
29,1,13,1,0,1,0,0,40,1
45,1,9,0,0,0,0,0,28,0
24,0,9,1,0,0,0,1,40,1
44,1,10,1,0,1,0,0,40,0
27,1,5,1,0,0,0,0,40,0
20,1,10,1,0,0,0,0,35,0
44,0,9,0,0,0,0,0,40,0
51,1,9,1,0,1,0,0,40,0
20,1,9,1,0,1,0,0,40,1
17,0,7,1,0,0,0,1,5,0
19,1,9,1,0,0,0,1,40,1
45,1,10,0,0,1,0,1,55,0
60,0,9,1,0,0,0,0,40,1
42,0,12,1,0,1,0,0,40,0
44,1,9,1,0,1,0,1,40,1
40,0,11,0,0,0,0,1,40,0
30,0,9,0,0,1,0,1,40,1
38,0,10,1,0,1,0,1,50,0
23,1,9,0,0,0,0,0,60,1
32,0,10,0,0,1,0,1,40,0
44,0,12,1,0,1,0,0,40,1
54,1,9,1,0,0,0,1,40,0
32,1,13,0,0,1,0,0,50,1
50,1,2,1,0,0,0,0,40,1
24,1,13,0,0,1,0,0,20,0
37,0,9,1,0,1,0,0,60,1
52,1,9,1,0,0,0,1,40,1
38,1,10,1,0,1,0,1,40,1
49,0,14,1,0,1,1977,1,45,1
30,0,13,0,0,1,0,0,16,1
60,0,10,0,0,0,0,0,40,0
22,0,10,1,0,0,0,0,40,1
35,1,9,1,0,1,0,0,40,1
30,0,9,0,0,1,0,0,60,1
67,1,11,0,0,1,0,0,24,1
46,1,13,0,0,1,0,0,40,0
17,0,5,0,0,1,0,0,6,0
22,1,10,0,0,0,0,1,30,1
27,0,6,1,0,0,0,1,40,1
23,1,9,1,0,0,0,1,35,0
33,0,12,1,0,1,0,1,45,0
43,0,10,1,0,1,0,0,20,0
28,1,13,1,0,0,0,0,20,0
41,1,9,0,0,1,0,0,40,1
52,0,8,0,594,0,0,0,40,0
25,1,10,0,0,0,0,0,20,0
63,1,2,0,0,1,0,0,35,1
59,0,9,0,0,0,0,1,45,1
45,0,13,1,0,1,0,0,40,1
38,0,13,1,15024,1,0,0,60,1
40,1,9,0,0,0,0,1,35,0
46,1,9,1,0,1,0,1,40,1
35,1,12,1,0,1,0,0,60,1
34,0,9,0,0,0,0,1,25,0
33,0,13,1,0,1,0,1,20,0
41,1,9,0,0,0,0,0,36,1
20,1,10,0,0,1,0,1,40,1
23,1,3,0,0,1,0,0,40,1
26,1,10,1,0,0,0,1,35,1
72,0,9,1,0,1,0,0,20,1
23,1,9,0,0,1,0,0,40,0
62,0,9,1,0,1,0,0,40,0
52,1,10,1,0,0,0,1,40,0
58,1,10,1,0,1,0,1,42,0
25,1,13,0,0,0,0,0,40,0
24,0,13,0,0,1,0,0,40,0
19,1,10,0,0,1,0,0,8,1
43,1,10,1,0,0,0,1,40,0
47,1,9,1,0,1,0,0,40,0
39,0,9,0,0,1,0,1,40,0
49,0,11,1,0,1,1380,0,42,0
53,0,3,0,0,0,0,0,30,0
32,1,11,1,0,1,0,1,45,0
34,1,10,0,0,1,0,0,50,1
28,0,9,1,0,0,0,1,45,0
57,1,11,0,0,1,0,0,38,1
25,0,10,0,0,0,0,0,20,1
20,0,10,1,0,0,0,1,24,0
21,1,10,1,0,0,0,0,35,0
34,1,13,1,0,1,0,1,50,1
38,1,13,0,15024,0,0,1,80,1
50,0,9,0,7688,1,0,1,50,1
24,1,10,0,0,1,0,0,50,1
37,0,10,0,0,0,0,1,45,1
44,0,10,1,0,0,0,0,58,0
28,0,10,1,0,0,0,0,40,1
42,0,13,1,0,0,0,0,40,0
74,1,10,0,0,1,0,0,9,0
38,0,9,0,0,0,0,1,50,0
44,1,14,1,0,1,0,0,40,0
44,1,7,0,0,1,0,0,46,0
26,0,9,1,0,1,0,1,40,0
36,1,9,1,0,0,0,1,40,0
41,1,12,1,0,1,0,0,50,1
67,1,15,1,20051,1,0,0,48,1
39,1,8,1,0,0,0,1,50,0
57,0,2,0,0,0,0,0,30,1
29,1,11,0,0,1,0,1,40,0
31,0,13,0,0,0,0,0,45,0
34,0,9,0,0,0,0,1,40,1
44,0,10,0,0,0,0,0,40,1
29,0,16,1,0,0,0,1,40,1
30,1,10,0,0,1,0,0,40,0
27,1,9,0,0,0,0,0,40,1
27,0,10,1,0,0,0,1,50,0
32,1,9,0,0,1,0,0,45,0
58,0,6,0,0,0,0,0,8,1
35,1,10,0,0,0,0,0,40,0
21,0,9,1,0,1,0,1,36,1
28,1,10,1,0,1,0,1,40,0
46,1,10,0,0,1,0,1,50,1
36,0,9,1,0,0,0,1,40,0
72,1,7,1,0,1,0,0,40,0
35,0,9,0,0,1,0,1,40,1
33,0,11,1,0,1,0,1,40,0
69,1,7,1,0,1,0,0,40,1
35,1,9,1,0,1,0,0,40,0
31,0,9,1,0,1,0,1,20,0
34,1,9,0,0,1,0,1,32,0
30,1,7,0,0,1,0,1,40,1
28,0,13,1,0,0,0,1,55,1
54,0,13,1,0,1,0,0,35,0
47,1,10,1,0,0,0,1,50,0
24,1,9,1,0,0,0,0,40,1
52,0,13,0,0,1,0,1,60,0
20,1,9,1,0,1,0,1,48,0
43,0,14,0,5013,0,0,0,45,1
45,0,4,0,0,0,0,0,40,0
29,1,9,0,0,0,0,0,35,1
47,1,14,0,0,1,0,1,42,0
24,0,9,0,0,0,0,0,40,1
51,0,9,1,0,1,0,1,40,1
17,0,7,1,0,0,0,0,12,1
37,0,11,0,0,1,1977,1,40,1
27,0,16,0,0,0,0,0,70,0
29,1,13,1,0,1,0,1,40,0
18,0,8,0,0,0,0,1,25,1
36,1,12,0,0,0,0,1,35,0
58,1,13,0,0,1,0,0,40,0
26,0,10,1,0,1,0,0,45,0
65,1,10,0,0,1,0,0,30,1
57,0,9,0,0,0,0,1,40,1
59,1,9,1,0,0,0,1,40,1
27,0,9,0,0,1,0,1,40,1
31,0,13,1,0,0,0,1,40,0
21,0,10,1,0,0,0,1,24,0
29,1,10,1,0,0,0,1,60,0
18,1,7,0,0,0,0,1,40,0
52,0,6,1,0,0,1887,1,47,0
57,0,13,0,0,0,0,1,80,0
42,0,9,1,0,0,0,0,40,1
55,0,9,0,0,0,0,0,40,1
60,0,4,0,0,1,0,1,48,1
31,0,13,0,7688,0,0,1,40,1
23,0,13,0,0,1,0,0,40,1
27,1,9,0,0,1,0,0,40,0
23,0,10,0,0,0,0,1,25,0
42,0,15,0,0,0,1902,0,50,1
25,1,10,1,2174,0,0,0,40,0
49,0,13,0,0,1,0,0,45,1
32,0,13,1,0,0,0,1,40,0
19,1,10,0,0,1,0,0,28,0
60,0,4,1,0,1,0,1,40,1
42,1,5,1,0,1,0,0,40,1
35,0,12,0,0,0,0,0,40,0
48,0,9,0,0,1,0,1,37,1
51,0,14,0,0,1,0,0,40,1
29,1,9,0,0,0,0,1,40,0
36,1,9,0,0,0,0,0,40,0
17,0,6,1,0,0,0,1,21,1
52,0,14,0,6849,0,0,1,60,1
24,0,9,0,0,0,0,1,40,0
24,1,9,0,0,0,0,0,50,1
26,1,13,1,1055,1,0,1,40,0
27,0,13,1,0,1,0,0,20,0
39,1,9,1,0,0,0,1,60,1
30,1,9,1,0,1,0,1,45,1
50,1,9,1,0,0,0,0,32,0
52,0,13,1,0,0,0,1,55,0
46,0,15,1,15024,0,0,0,45,0
23,1,13,0,0,0,0,0,20,1
45,0,7,1,0,1,0,1,20,1
65,1,5,1,0,1,0,1,24,1
29,1,11,1,0,1,0,0,55,0
47,1,5,1,0,1,0,1,40,0
30,1,9,1,0,0,0,0,60,0
34,0,9,0,0,0,0,0,45,0
38,1,9,0,0,1,0,0,64,0
33,1,10,1,0,1,0,1,40,0
49,0,13,1,0,1,0,1,26,0
47,1,10,1,0,1,0,0,40,1
49,0,6,0,0,0,0,1,40,0
43,0,10,1,15024,0,0,1,60,1
30,1,13,1,0,1,0,0,40,1
58,0,9,0,0,0,0,1,60,1
19,1,9,1,0,1,0,1,14,0
21,0,13,1,0,1,0,1,40,1
33,1,13,0,15024,0,0,1,60,1
47,0,3,1,0,0,0,0,50,0
52,0,16,0,0,1,0,0,60,1
26,0,9,1,0,1,0,1,55,1
60,1,9,1,0,1,0,1,40,0
21,1,10,1,0,0,0,0,40,1
36,0,10,0,5178,0,0,1,50,0
31,1,10,0,0,0,0,1,45,1
50,1,16,0,0,0,0,0,40,0
31,1,9,0,0,0,0,0,40,1
71,0,9,0,0,1,0,1,15,0
58,0,9,0,0,1,0,1,50,1
30,0,13,1,0,1,0,0,40,0
20,0,10,1,0,0,0,1,20,0
24,0,9,1,4101,1,0,0,50,1
35,1,16,1,0,1,0,0,40,1
38,1,10,0,0,0,0,1,45,0
27,0,9,0,0,1,0,1,32,1
29,1,10,1,0,1,0,1,40,0
70,0,5,0,1111,1,0,0,15,0
34,0,9,0,0,0,0,1,45,1
44,0,4,1,0,1,0,0,35,0
43,1,9,1,0,0,0,0,40,1
44,1,8,1,0,1,0,0,40,1
35,0,14,1,0,0,0,1,60,0
27,1,10,1,0,1,0,1,40,1
43,1,14,0,0,1,0,1,38,0
20,1,10,1,0,1,0,0,25,1
42,0,12,0,8614,1,0,0,40,1
27,1,10,1,3411,1,0,1,40,1
42,1,9,1,0,0,0,0,40,0
20,0,7,1,0,1,1762,0,40,1
24,0,5,1,0,0,1721,0,40,0
48,0,10,1,0,0,0,0,40,0
17,0,7,1,0,1,0,1,20,0
17,1,7,1,0,1,0,0,10,0
33,1,13,1,0,1,0,0,40,1
50,0,9,1,0,0,0,0,50,0
22,1,9,1,2597,0,0,1,40,1
17,0,8,0,0,0,0,0,16,1
32,1,10,1,0,0,0,1,40,1
31,1,9,1,0,0,0,0,45,0
58,1,9,0,0,1,0,1,50,1
29,1,9,1,0,0,0,1,48,0
37,1,11,0,0,0,0,1,40,1
34,0,9,1,0,0,0,1,40,0
23,1,10,0,0,0,0,1,40,1
18,0,7,0,0,0,0,1,5,0
34,0,9,1,0,0,0,1,40,0
66,1,4,0,0,0,0,1,4,0
45,1,13,1,0,1,0,1,55,1
41,0,14,0,0,1,0,1,35,1
